"","Score (t1)","OrthoScore (to1)"
"9412",-0.59348,-0.24094
"4442",-1.8768,-1.714
"9905",-2.5789,-1.3471
"1562",-1.6098,-0.50995
"4647",-2.7127,0.70429
"8593",-2.9104,2.2483
"9041",-0.883,-1.6388
"8141",-0.37887,-0.20298
"5852",-1.5355,0.46103
"1604",-1.3862,4.3639
"499",-2.4938,-0.90986
"6540",-1.5258,-0.21817
"420",-2.971,0.52097
"516",-3.3267,-0.11147
"5860",-1.0806,-0.68445
"9091",-3.4319,2.5235
"8783",-2.5628,-0.5625
"4516",-1.9546,-0.51159
"9487",-0.90216,-0.41576
"6353",-1.7634,-1.7544
"4258",3.616,-0.14735
"4337",2.5737,3.9673
"174",2.3521,-0.031306
"5739",3.2254,-0.66153
"5733",0.20478,0.87884
"4789",0.57431,-0.5683
"6670",1.4069,-1.0318
"3635",1.416,-1.5586
"6384",2.1181,-0.91774
"7050",1.5489,-1.2444
"9382",1.0251,-1.0226
"4637",1.3322,-1.0311
"9853",0.21502,0.41383
"7082",0.90341,-2.4727
"4748",0.7207,1.2705
"4960",1.6278,1.1036
"1963",2.6856,2.4672
"5391",1.5757,-0.99529
"5160",1.6381,-0.17933
"2688",0.90546,0.78535
"9273",1.0066,-0.1959
"7478",2.903,-0.72141
"2048",2.9034,1.8926
