"","Loading (t1)","OrthoLoading (to1)"
"Basophils",-0.20763,-0.19051
"CD19",-0.007281,0.13034
"CD3",-0.12565,0.1131
"CD4",-0.065201,0.13446
"CD45pos_CD203neg_CD117pos",-0.1592,0.20211
"CD45pos_CD203pos_CD117pos",-0.21711,0.012877
"CD8",-0.2288,-0.051453
"DC_CD209neg_CD11cposCd1a",-0.28777,0.050659
"DC_CD209pos_CD11cposCD1a",-0.27976,-0.05407
"gdTCR",-0.036154,0.12455
"Macs_CD14hi_CD1anegHLApos",0.10443,0.21175
"Macs_CD14hi_CD1aposHLAneg",0.098927,-0.10544
"Macs_CD14hi_CD1aposHLApos",-0.20806,0.021425
"Macs_CD14med_CD1anegHLApos",-0.2056,0.058159
"Macs_CD14med_CD1aposHLAneg",-0.10687,-0.31597
"Macs_CD14med_CD1aposHLApos",-0.21042,-0.28688
"Monocytes",0.026644,-0.16078
"Neutrophils",-0.056772,-0.058061
"NKcells",-0.074943,-0.19049
"NKT",-0.11366,-0.14217
"pDC",-0.14142,-0.21094
"Tregs",-0.15984,-0.082866
"IFN_la2_3_S",-0.019531,-0.21591
"IFNa2_S",-0.07135,-0.24833
"IFNb_S",-0.20728,-0.21405
"CCL11_S",0.12395,0.28441
"CCL17_S",0.12276,0.10397
"CCL2_S",-0.0050949,0.068447
"CCL20_S",0.024191,-0.26831
"CCL3_S",-0.13855,-0.18737
"CCL4_S",-0.11216,-0.11856
"CXCL1_S",0.06596,0.17621
"CXCL10_S",-0.077108,0.024552
"CXCL11_S",-0.14252,0.10885
"CXCL12_S",0.044661,0.23551
"CXCL5_S",0.041019,0.20501
"CXCL9_S",-0.16197,0.013031
"GM_CSF_S",-0.22152,-0.24245
"IFN_la1_S",0.088551,-0.1333
"IFNg_S",-0.17317,-0.2896
"IL10_S",-0.17723,-0.31942
"IL1b_S",-0.24562,-0.1922
"IL6_S",-0.13512,-0.33257
"IL8_S",-0.060174,-0.15678
"TNFa_S",-0.19131,-0.25093
"TNFb_S",-0.1126,-0.22196
