"","Score (t1)","OrthoScore (to1)"
"9412",-0.366,-1.5994
"4442",-1.8138,-4.3154
"9905",-2.6125,-3.0292
"1562",-1.4843,-0.47264
"4647",-2.9098,3.7854
"8593",-2.7637,2.9226
"9041",-1.097,6.0557
"8141",-0.41772,-2.3501
"5852",-1.4784,0.62138
"1604",-0.060527,4.0861
"499",-1.879,0.24912
"6540",-0.95185,-2.9513
"420",-2.319,0.26937
"516",-2.9154,-0.74736
"5860",-1.7255,1.5423
"9091",-2.3156,1.0389
"8783",-2.2045,-1.3115
"4516",-1.6256,-3.6386
"9487",-0.64252,2.7009
"6353",-2.1451,-2.8562
"4258",2.9206,0.99058
"4337",3.8559,-0.27759
"174",1.9439,0.27328
"5739",2.7326,1.6016
"5733",-0.024544,2.3898
"4789",-0.14732,-0.11433
"6670",0.98185,-3.0795
"3635",0.86191,-0.58014
"6384",1.4103,-0.8766
"7050",1.3378,-0.61511
"9382",0.61787,-0.48916
"4637",0.85515,2.6228
"9853",-0.66538,3.3235
"7082",0.087261,-2.992
"4748",1.0803,0.9668
"4960",0.71028,2.0476
"1963",3.2634,-1.8851
"5391",1.2162,-2.0214
"5160",1.7564,-1.6287
"2688",1.5613,-0.24771
"9273",1.6169,-2.1347
"7478",2.6372,-1.253
"2048",3.1179,3.9791
