"","p[1]","p(corr)[1]"
"Macs_CD14hi_CD1aposHLAneg",1.0838,0.57042
"Neutrophils",0.98316,0.51745
"DC_CD209pos_CD11cposCD1a",0.67991,0.35784
"Mono_int",0.67281,0.35411
"Mono_non",0.47592,0.25048
"Mono_clas",0.3448,0.18147
"DC_CD209neg_CD11cposCd1a",0.30474,0.16039
"Macs_CD14med_CD1aposHLAneg",0.25865,0.13613
"Macs_CD14hi_CD1aposHLApos",0.22284,0.11728
"CD45pos_CD203neg_CD117pos",0.028987,0.015256
"Macs_CD14med_CD1aposHLApos",0.016811,0.0088475
"Macs_CD14hi_CD1anegHLApos",-0.1328,-0.069893
"Basophils",-0.18649,-0.09815
"Macs_CD14med_CD1anegHLApos",-0.25189,-0.13257
"NKcells",-0.34066,-0.17929
"CD45pos_CD203pos_CD117pos",-0.39434,-0.20754
"gdTCR",-0.53968,-0.28404
"pDC",-0.78016,-0.41061
"NKT",-0.79503,-0.41843
"Tregs",-1.0292,-0.54169
"CD19",-1.084,-0.57054
"CD8",-1.2535,-0.65972
"CD3",-1.4407,-0.75823
"CD4",-1.4593,-0.76804
