Mixture,Classical monocytes,NK cells,B cells,pDC,Mast cells,T cytotoxic,Non-classical monocytes,cDC2,cDC1,DC_Mature,Tregs,T helper,B Plasma,Macrophage,Macrophage_Alveolar,P-value,Correlation,RMSE,Absolute score (sig.score)
DSP-1001660014616-A-A02.dcc,0,0.0128127447719261,0.216022457500489,0.0916575572220028,0.0588356350137626,0.0452030724959858,0.110192432668065,0.0680989931269963,0,0.123539287721392,0.152160121744512,0.15944260746445,0.0132604551283105,0.0761492150809044,0.0386741388271943,0,0.300923514364795,0.958897479197909,1.16604871876599
DSP-1001660014616-A-A03.dcc,0,0.0197433864211269,0.267113924340111,0.0485075770744413,0.0488001592144942,0.0460504926442787,0.121044603292892,0.0980716682078826,0,0.135391685801508,0.0867640604937333,0.174505701741278,0.026400828296054,0.0650628071681256,0,0,0.290386808678549,0.960354202622164,1.13745689469592
DSP-1001660014616-A-A04.dcc,0,0.0434992738460386,0.19411846124691,0.0488399934021383,0.048284989616426,0.117805210922854,0.0794375137861655,0.105912633838345,0,0.175020286321795,0.115419620341391,0.111785031743482,0.0175991031876613,0.0620030055784392,0.01914234442353,0,0.285823409632276,0.961798041745231,1.13886746825518
DSP-1001660014616-A-A05.dcc,0,0.00380930131534793,0.277872635439902,0.102259571248321,0.0204535405999203,0.0694721182982867,0.126793645715518,0.115721858150956,0,0.122708580042908,0.0359802160321034,0.194843473214394,0.0210271193246232,0.0721496430173108,0,0,0.302898296273683,0.957969616835065,1.16309170239959
DSP-1001660014616-A-A06.dcc,0,0.0777772039908417,0.236674121853041,0.0797520095892715,0.0786398037157195,0.0723163684988408,0.0745382075900492,0.118673977899457,0,0.171344395831843,0.0234533008566118,0.120415688415596,0.0150947119690861,0.0612717685357516,0.00539471535688172,0,0.280298896502688,0.962935515846235,1.13534627410299
DSP-1001660014616-A-A07.dcc,0,0.0534725940035686,0.246699696776338,0.0662995063607164,0.0540288173459577,0.115199148655836,0.0604689912458906,0.137580485935814,0,0.129332985623464,0.0430816913456427,0.117193105555345,0.0174527311928519,0.0643009416034292,0.0298120834785654,0,0.301957174203039,0.959113229061908,1.13492277912342
DSP-1001660014616-A-A08.dcc,0,0.0372022947546424,0.218764654237837,0.0801208714115289,0.0472437385019741,0.109613894790519,0.0596085685671436,0.0839811824961388,0,0.151857067214933,0.0739185135774502,0.189758745247146,0.0160962103044063,0.0777610469715387,0.00785245708910245,0,0.308421046686111,0.957240281788519,1.15377924516436
DSP-1001660014616-A-A09.dcc,0,0.057989194815461,0.218053415422798,0.0954737978064273,0.0381465863259654,0.0269158631296522,0.128382463084316,0.086220985729795,0,0.131393123896295,0.0696610380555867,0.188878683176171,0.0236237379650819,0.0810723817286786,0,0,0.284961359882608,0.961835793550116,1.14581127113623
DSP-1001660014616-A-A10.dcc,0.00349299384987269,0.0849223026182079,0.246995384206014,0.0514818403350024,0.0531733178765391,0,0.0615284845681887,0.0700291877442597,0,0.161872511066475,0.0874199238816447,0.205661623331027,0.0115880286556165,0.105565705794618,0,0,0.294765808777374,0.959267854095754,1.14373130392746
DSP-1001660014616-A-A11.dcc,0,0.0598898148106303,0.254688211937537,0.0768553524594584,0.0379432898480349,0.0376197638999249,0.0977139558207685,0.0715313295868295,0,0.17169289411884,0.109875290404992,0.109340906981706,0.0221333222082952,0.0823587489955467,0.00224520012798702,0,0.270281265669223,0.964304205323329,1.13388808120055
DSP-1001660014616-A-A12.dcc,0,0.0591405111466327,0.245306898145667,0.0526747810342903,0.0554311308239053,0.0656846969512437,0.0891140558952722,0.0945740928172358,0,0.125264379712935,0.0737482514790131,0.141322454472097,0.0217790203919582,0.109486995833148,0,0,0.293389959618373,0.960057292196933,1.1335272687034
DSP-1001660014616-A-B01.dcc,0,0.0347918484164231,0.211360097266099,0.0634365544181327,0.0433541389936739,0.0290209251118757,0.145819307788613,0.133660766207577,0,0.113303298591452,0.0902450439221209,0.159732501217321,0.0240517489079033,0.085461199803111,0,0,0.272191275307379,0.964673888111152,1.1342374306443
DSP-1001660014616-A-B02.dcc,0,0.0389423454730539,0.247220295464807,0.0586432450026577,0.0330999703102682,0.0604139879489036,0.165222042006918,0.0687429700363462,0,0.151714893190782,0.111240567256447,0.0983665816352177,0.0240446246530546,0.0792999419963065,0,0,0.27284283512025,0.963748867892465,1.13695146497476
DSP-1001660014616-A-B03.dcc,0,0.101936402191009,0.298461812223227,0.046378583700785,0.0379134244736769,0.0105149101834548,0.0531648989721298,0.0785931833227633,0,0.155622978469291,0.0586951984626473,0.175313290903084,0.0217277414663192,0.0965936728075981,0,0,0.282683998429871,0.961283838559251,1.13491609717599
DSP-1001660014616-A-B04.dcc,0,0.0694249556175347,0.240598798184705,0.103416532350574,0.0174798700172363,0.0375904921458561,0.156754164443761,0.0697649646712953,0,0.140832912498837,0.0663299352922755,0.146347359635615,0.0209365915200645,0.0763770762739201,0,0,0.292489918302485,0.959688824909791,1.14585365265167
DSP-1001660014616-A-B05.dcc,0.0051975138243091,0.0773361278821146,0.209750561836071,0.0437785607101116,0.0618668625068925,0.0373702040080168,0.0789932041970432,0.131352500550811,0,0.130148641445448,0.0844788928369423,0.190702573381111,0.0218955208725071,0.0603907319118557,0.0034455267692901,0,0.296005136174356,0.959985992297798,1.13670742273252
DSP-1001660014616-A-B06.dcc,0,0.0885746844816114,0.252639257155718,0.085107837626522,0.0432953634849857,0,0.0743994824927622,0.121390748415639,0,0.144964641534988,0.0924695600479811,0.155485571090969,0.0180255720632466,0.0591122654407844,0,0,0.286759876195059,0.961282168388249,1.13546498383521
DSP-1001660014616-A-B07.dcc,0,0.0814970297767761,0.254851461248499,0.0691762610138189,0.0226563759009813,0.0572326817500684,0.107383669476965,0.0808515810551452,0,0.137726996138387,0.00545470584710489,0.198478487962738,0.0206196772988376,0.0998888960812204,0,0,0.278209324675686,0.963067661222333,1.13581782355054
DSP-1001660014616-A-B08.dcc,0,0.120282798133975,0.27085553081634,0.0727426087588762,0.0430759887998722,0.0090594744795765,0.131262432296229,0.0608201962949642,0,0.16120390331686,0.0353165928627609,0.0892936139453252,0.0286685586215229,0.123455697504944,0,0,0.249400335268565,0.968478012052677,1.14603739583125
DSP-1001660014616-A-B09.dcc,0,0.0650415898572975,0.205581539048959,0,0.0446528148291698,0.172520532730795,0.086322080658658,0.0734779330911987,0.016274872007878,0.163393026031349,0.0907267940171084,0.110046475993529,0.00821372330032967,0.125492607251015,0.010460862983103,0,0.272017717510571,0.964302901428451,1.17220485180039
DSP-1001660014616-A-B10.dcc,0.0710257849338457,0.0109370637657289,0.341454451043328,0.0474024664787571,0.119946273481549,0.0315486790634714,0,0.162233087724561,0.00471166885187571,0.141676924575677,0.0983051855428231,0.162793643307898,0.0157670811085612,0.0240518019401156,0,0,0.137804937582336,0.994488551848868,1.23185411181819
DSP-1001660014616-A-B11.dcc,0,0.123834377370316,0.32831431236198,0.0513798848390267,0.0533208513394207,0,0.0407032581819622,0.0730756538439033,0,0.13768998380135,0.0558698092944156,0.148611292031499,0.0189187671065547,0.107410636615343,0.0167230029604103,0,0.295841371041579,0.958087607311172,1.15585182974618
