"","p[1]","p(corr)[1]"
"Macs_CD14hi_CD1anegHLApos",0.82223,0.37231
"Macs_CD14hi_CD1aposHLAneg",0.5154,0.23338
"Neutrophils",0.19755,0.089451
"Monocytes",0.1845,0.083543
"gdTCR",-0.028003,-0.01268
"CD19",-0.042133,-0.019078
"CD4",-0.33227,-0.15045
"NKcells",-0.55405,-0.25088
"CD3",-0.68808,-0.31157
"Tregs",-0.71317,-0.32293
"NKT",-0.8216,-0.37202
"CD45pos_CD203neg_CD117pos",-0.84999,-0.38488
"Macs_CD14med_CD1aposHLAneg",-0.90307,-0.40892
"pDC",-0.95843,-0.43398
"Macs_CD14med_CD1anegHLApos",-1.1152,-0.50496
"Basophils",-1.2321,-0.55788
"CD45pos_CD203pos_CD117pos",-1.2948,-0.58627
"CD8",-1.3081,-0.59232
"Macs_CD14med_CD1aposHLApos",-1.5206,-0.68854
"Macs_CD14hi_CD1aposHLApos",-1.5576,-0.70528
"DC_CD209pos_CD11cposCD1a",-1.9441,-0.88028
"DC_CD209neg_CD11cposCd1a",-2.0108,-0.91051
