"","Mixture","Classical.monocytes","NK.cells","B.cells","pDC","Mast.cells","T.cytotoxic","Non.classical.monocytes","cDC2","cDC1","DC_Mature","Tregs","T.helper","B.Plasma","Macrophage","Macrophage_Alveolar","P.value","Correlation","RMSE","Absolute.score..sig.score."
"62","DSP-1001660014616-A-F04.dcc",0.0291740933483937,0.0538729896949353,0.0451298638442203,0.120339335509997,0.0918248751021589,0.0517235327877857,0.115342057263878,0.0921389195213315,0.00533017860669912,0.127316037974985,0.106916386019783,0.123204078038005,0.0564607240096839,0.182100387018218,0.173696191339906,0,0.458997878962107,0.908058583737415,1.37456965007998
"63","DSP-1001660014616-A-F05.dcc",0.0318839232880224,0.0564448346256374,0.128445000319207,0.0938104438434777,0.131224323818807,0.0656097957417425,0.0582347690342861,0.153315891777609,0,0.135579263590779,0.075493855991362,0.117597350557833,0.0184887902444921,0.100841333400714,0.1060280610426,0,0.423501115501326,0.930847219787711,1.27299763727657
"64","DSP-1001660014616-A-F06.dcc",0.069597969816169,0.0973827548648297,0.0685546673072544,0.0859536507915334,0.12274274321407,0.114637264597793,0.0748886024628394,0.084346662461926,0,0.14704375802028,0.0984416400150645,0.0673142908310143,0.0233367609739586,0.135520360749594,0.13540725992451,0,0.452000717719106,0.919605689470451,1.32516838603084
"106","DSP-1001660014618-B-C03.dcc",0,0.0605340507949209,0.00712155933988178,0.125171875161906,0.0863868553705063,0.0933128195411889,0.0880818646397465,0.103439442160911,0.0217587452718068,0.129281118742158,0.125155313808698,0.132674690156087,0.162069068853614,0.178144486551537,0.0986541353199581,0,0.362718373964503,0.932062802366361,1.41178602571292
"107","DSP-1001660014618-B-C04.dcc",0,0.0806657434501247,0.0154015840487364,0.137099054480792,0.115771061074446,0.0429124126852548,0.0710729422188438,0.0818758260528703,0,0.143253715365712,0.0959348839448414,0.177659593201452,0.127821799400279,0.205310199635232,0.0995868946123384,0,0.318540215652134,0.948021909935808,1.39436571017092
"108","DSP-1001660014618-B-C05.dcc",0.00111677808419472,0.042316976656918,0.0644181361984349,0.151119623189158,0.11787378797238,0.0782524916354899,0.0698063364990492,0.0443882672161939,0.033382869836074,0.191534328899207,0.102946498952588,0.181474644016623,0.0958776547453952,0.146072518698659,0.0691711718156059,0,0.374039322990024,0.931359354429745,1.38975208441597
"122","DSP-1001660014618-B-D08.dcc",0.0764785670453877,0.227764040786439,0,0,0,0.226505177040442,0,0.710644127234971,0,0,0,0,0,0,0.0880391303345675,0.37,0.0299611104531484,1.03424807406263,1.32943104244181
"123","DSP-1001660014618-B-D09.dcc",0,0,0.101095439229855,0.0188773979139517,0,0.223837074406924,0.166258598629512,0.491616295234254,0,0.0504042127114174,0,0.346290164542395,0,0,0,0.69,0.00570157164211856,1.02671503034307,1.39837918266831
"124","DSP-1001660014618-B-D10.dcc",0,0.198595780569932,0.101770052542904,0,0,0.171635296954044,0.140824793932575,0.48730266955321,0,0.200882817158355,0,0,0.0298165788958934,0,0,0.26,0.0393067186497437,1.02350304144389,1.33082798960691
"149","DSP-1001660014618-B-G01.dcc",0.0371510223725948,0,0.0459288650296177,0.074687024623347,0.0624575595873367,0.154260617966813,0.0911016071663491,0.197150889039682,0.108582514743373,0.0748145313184934,0,0.230551703900038,0.165244332074523,0.0789156802435929,0.0569330021741455,0,0.183405210005369,1.00468932149681,1.37777935023991
"150","DSP-1001660014618-B-G02.dcc",0.121820186037712,0.0662042150244865,0,0.0966529565995811,0.0769743772809959,0.188196826249552,0,0.093724884313654,0.116876555856388,0.184617666887519,0.170792040176872,0.00703406871248167,0.00250231374401599,0.178414756616225,0.0417593712160465,0,0.339339511593396,0.945171564493165,1.34557021871553
"151","DSP-1001660014618-B-G03.dcc",0.117151700360235,0.105655153758171,0.148487806724922,0.0241940562462263,0.0762642511688163,0.241781379342675,0.0213573094089924,0.0205142681829736,0,0.157706946322061,0.0429277541508448,0.108981947586105,0.0420715231543364,0.213578565463335,0,0,0.255311013893678,0.966669956359725,1.32067266186969
"152","DSP-1001660014618-B-G04.dcc",0.0749074100560959,0.0225943088027502,0.112069073345378,0.0785662867150774,0.0671327611738898,0.238315082762258,0.0474902193434449,0,0,0.173997030752386,0.0895916809192293,0.0850945838215041,0.0460153844310078,0.1974703571457,0.0301822562042478,0,0.411753308217535,0.926281242890792,1.26342643547297
"235","DSP-1001660014619-C-F06.dcc",0.0869367877443373,0.0954885594418899,0.0592828134028258,0.10179308305222,0.0965683131594779,0.0266493910591405,0.00986397986585526,0.130915115122251,0.02486347694788,0.137813968650068,0.0757132777143432,0.126889984985307,0,0.292221370138497,0.154032802870046,0,0.439526625495972,0.911217025463465,1.41903292415414
"236","DSP-1001660014619-C-F07.dcc",0.0595556177783366,0.0703397611793797,0.0568596126427652,0.113115882638857,0.100946075640727,0.0180286574001518,0.0731257245988467,0.0723801782104588,0.0272006542643007,0.169895295747369,0.115290327797328,0.0950303544546109,0.00164188031088911,0.199992048095931,0.220152332953977,0,0.423062769536506,0.917810242994381,1.39355440371393
"237","DSP-1001660014619-C-F08.dcc",0.0391591253834592,0.0855258127310428,0.0581044751984387,0.0858990010244104,0.131927877564478,0.0470371824756911,0.0539159479446184,0.0384635704497283,0.0107568816919348,0.171425175470651,0.0493094049049889,0.172751805656722,0.0593670381572866,0.215979715459245,0.164372473616595,0,0.40420950712296,0.922979863612639,1.38399548772929
"238","DSP-1001660014619-C-F09.dcc",0.0602509181680532,0.0512145508444201,0.0568365088088589,0.107984392526908,0.0933868951037446,0.00381158603224169,0.0674191995099038,0.101171010382021,0.0349858994384033,0.139401028592806,0.0943666496065323,0.154398455125895,0.000622256523199301,0.228339435496463,0.204916204434654,0,0.417074828971813,0.918920072420392,1.3991049905941
"239","DSP-1001660014619-C-F10.dcc",0,0.0948323525022677,0.0321387920448177,0.172882072441055,0.164957795844903,0,0.100962921347635,0.0842902961950138,0.0209592041517,0.184871026061438,0.102880636414556,0.104450457540664,0.000767847979364891,0.167012527934306,0.151363290008269,0,0.358454252746036,0.939993997014257,1.38236922046599
"240","DSP-1001660014619-C-F11.dcc",0.0568273220324659,0.0409503379816042,0.0571317897085142,0.104477879303867,0.112699023819283,0.028269632345544,0.050514942188034,0.0930849157403692,0.050192931461493,0.112466934299456,0.103009311186627,0.107630382664891,0.00161076636890326,0.296921085167623,0.200694666456501,0,0.43309419863293,0.910478719193753,1.41648192072518
"247","DSP-1001660014619-C-G06.dcc",0.0447546372037631,0.0737336341284717,0,0.0902119465402059,0.114152442084484,0.0502413080561521,0.0622793169679557,0.205856790213496,0,0.144588536511351,0.0477578641515922,0.12405414120537,0.177022020542381,0.153136380449107,0.114186404900736,0,0.318464485620098,0.953219213197583,1.40197542295507
"248","DSP-1001660014619-C-G07.dcc",0.108042325835119,0.117282659847921,0.0700343863759169,0.140569995085421,0.044947991360981,0.0565302971572028,0.0740758675203369,0.113027871251621,0.0356025242186685,0.19569429531578,0.0851842813077688,0.112446718523313,0.08243784622058,0.15717633952396,0.00424388252303538,0,0.314073052494651,0.950027216147306,1.39729728206763
"249","DSP-1001660014619-C-G08.dcc",0.0226600084288274,0.120084380127002,0,0.0899674733938725,0.113172482977752,0.0539770486632916,0.097349120843454,0.166587875630299,0,0.17428395682169,0.0680913359170656,0.0716045478057792,0.229030615313123,0.104759734229823,0.0647848345418667,0,0.269398001748886,0.992962315672557,1.37635341469385
"250","DSP-1001660014619-C-G09.dcc",0,0,0,0.136172785364534,0.176628949168124,0.195257650178932,0.0926616646952734,0.273521902018366,0,0.226642076415697,0,0.0640906963098602,0.0469269642091632,0.120252834625026,0.0315785056153359,0,0.205615777667124,0.979992116663805,1.36373402860031
"259","DSP-1001660011972-E-A10.dcc",0.0293163752546391,0.0501781203589217,0.162288757093375,0.101804869853507,0.114863403826649,0.0812589029351749,0,0.134314552393628,0,0.168109683741602,0.0737547886890701,0.0945810258659247,0.00907621809734294,0.160386858677694,0.116097630171154,0,0.432972956245845,0.924614706022533,1.29603118695868
"260","DSP-1001660011972-E-A11.dcc",0.0397903246825541,0.0456979428858623,0.103196412022295,0.0783896489264879,0.112096448221361,0.081979559675885,0.031516100398001,0.150139343024421,0,0.161552191809715,0.0768134788845646,0.109080223021165,0.0369981065396566,0.123131634704412,0.153613377559835,0,0.419858773388739,0.925126889646882,1.30399479235622
"261","DSP-1001660011972-E-A12.dcc",0,0.0459104719221495,0.0917507805308334,0.0666189880038172,0.112650874861529,0.0506732529467304,0.0477362389475221,0.144505294926579,0,0.16931364425053,0.086708193479348,0.139351421837302,0.077063647349487,0.215973654662128,0.0768158665146872,0,0.416749547548977,0.91844825226911,1.32507233023264
"262","DSP-1001660011972-E-B01.dcc",0.0289743759093398,0.070177321773341,0.143783211290391,0.052111409911361,0.111516385215935,0.00777682474684166,0.0368530625189565,0.101269232897087,0,0.200026940295551,0.102035738058016,0.185434039834214,0.00756872498451652,0.179507010282136,0.0564259048538748,0,0.420165363955089,0.928327160219438,1.28346018257156
"263","DSP-1001660011972-E-B02.dcc",0,0.066757409912225,0.0618915496959785,0.116571817487294,0.0858247553205817,0.0337234133668528,0.049164727469163,0.143915160063656,0,0.13025367172112,0.0576730437767986,0.163666489314925,0.0621599062151796,0.224670375006282,0.131542899694516,0,0.407095368986633,0.921989149412289,1.32781521904457
